
date,sm_0_28_mean
2015-01,0.14341658511845734
2015-02,0.14360665886230461
2015-03,0.12002187413579704
2015-04,0.08620847680231408
2015-05,0.07440013876746052
2015-06,0.06914038078282476
2015-07,0.06567904085387291
2015-08,0.06484832478837896
2015-09,0.06346412611318973
2015-10,0.0725772426546122
2015-11,0.0810229690724189
2015-12,0.07326520243461164
2016-01,0.1354879717958191
2016-02,0.11573594824699969
2016-03,0.09861558996480314
2016-04,0.09286863542972237
2016-05,0.07773282391336939
2016-06,0.07312817019779556
2016-07,0.06936895663816359
2016-08,0.06539674603011505
2016-09,0.06215830613352733
2016-10,0.0630785057307676
2016-11,0.0678749775123337
2016-12,0.13025754501474776
2017-01,0.14542983105541396
2017-02,0.15363616820148487
2017-03,0.10218121566807638
2017-04,0.08774392603515255
2017-05,0.07852994907702812
2017-06,0.07353468347823472
2017-07,0.06944288042628749
2017-08,0.0653300098612783
2017-09,0.06185396819932746
2017-10,0.05988102870815468
2017-11,0.0665869748088355
2017-12,0.07849124939392421
2018-01,0.1455239293809841
2018-02,0.15300027806887154
2018-03,0.09751185642774633
2018-04,0.08324095428855896
2018-05,0.07939300510853382
2018-06,0.06903212656887836
2018-07,0.06424583930699586
2018-08,0.06065839737914956
2018-09,0.05742658605264926
2018-10,0.06472116815841736
2018-11,0.09721990055283067
2018-12,0.07950983830166988
2019-01,0.0788004363983467
2019-02,0.08784198194471113
2019-03,0.11690334299891066
2019-04,0.08772907315960773
2019-05,0.06553755463001362
2019-06,0.06280172889435506
2019-07,0.05740078815241957
2019-08,0.053268584523977765
2019-09,0.050130624672858684
2019-10,0.0551649242098731
2019-11,0.06921565383018077
2019-12,0.07539684300617222
2020-01,0.11232422878580409
2020-02,0.1310560118744799
2020-03,0.1636720717796526
2020-04,0.09699686179127481
2020-05,0.08197432331416715
2020-06,0.06969580874333385
2020-07,0.06574604816043614
2020-08,0.06345265895916963
2020-09,0.06125595724259471
2020-10,0.05858654962394994
2020-11,0.0709982701416004
2020-12,0.0749649137862336
2021-01,0.08112631485459304
2021-02,0.1083984502464488
2021-03,0.0763103054378464
2021-04,0.06299573731188562
2021-05,0.059042978474071195
2021-06,0.05512103876479991
2021-07,0.051417218917186466
2021-08,0.04879877378063008
2021-09,0.0473901175939373
2021-10,0.04752612163493716
2021-11,0.0576984310863787
2021-12,0.062031512818703574
2022-01,0.10580161521241434
2022-02,0.09629490416975613
2022-03,0.07378154425596734
2022-04,0.059789402434719315
2022-05,0.05619141359491728
2022-06,0.05156147020511221
2022-07,0.04883954865266702
2022-08,0.046197554275134264
2022-09,0.0435805681749638
2022-10,0.047922894981219974
2022-11,0.05733950113366438
2022-12,0.06347733281062638
2023-01,0.09120338569058262
2023-02,0.10013481029696969
2023-03,0.0824519680692041
2023-04,0.06995285433882603
2023-05,0.06156730242046275
2023-06,0.057584722751357655
2023-07,0.05061201902954941
2023-08,0.04709060854027257
2023-09,0.04549964136560906
2023-10,0.04878688632184539
2023-11,0.07157465532693134
2023-12,0.0922652649941959
2024-01,0.07359489998216993
2024-02,0.09080945902489274
2024-03,0.06835484407458166
2024-04,0.05967351835048143
2024-05,0.05573810455001488
2024-06,0.049788592165798895
2024-07,0.04455724281508799
2024-08,0.04147336359231971
2024-09,0.039725402585000257
2024-10,0.03888260365143763
2024-11,0.04606734022711265
2024-12,0.04932338499570073
2025-01,0.050065986061845105
2025-02,0.0853163466651181
2025-03,0.09703359367329019
2025-04,0.06942656840706522
2025-05,0.06408530461051631
2025-06,0.058187482328120585
2025-07,0.05381176809572067
2025-08,0.0546594520874139
2025-09,0.05078659476639831
2025-10,0.04814632614385843
2025-11,0.052730426422294724
2025-12,0.11366772990371576
